idea_id,name,primary_field,historical_layer,unifying_role,representation,transformation,invariant_or_preserved_structure,interpretation_note,audit_question
idea_quantity,Quantity,arithmetic,ancient calculation and measurement,"connects counting, magnitude, comparison, and modeling","number, unit, measure",calculation and comparison,same numerical form across different objects,quantity abstracts from the thing counted or measured,How does this idea move across fields without erasing contextual difference?
idea_proportion,Proportion,geometry,number and space,"connects number, similarity, scale, music, rate, and modeling",ratio of magnitudes,scaling,same relative relation,proportion is a bridge between arithmetic and geometry,How does this idea move across fields without erasing contextual difference?
idea_proof,Proof,geometry and logic,Greek proof and formal foundations,makes reasoning accountable under assumptions,"demonstration, derivation, proof script",valid inference,truth under accepted rules and assumptions,proof unifies mathematical claims through justified dependency,How does this idea move across fields without erasing contextual difference?
idea_algorithm,Algorithm,computation,procedural traditions and computer science,turns reasoning into repeatable transformation,"procedure, program, recipe",input to output,specified behavior,algorithmic thinking predates computers but becomes formal in computer science,How does this idea move across fields without erasing contextual difference?
idea_equation,Equation,algebra,algebraic symbolism,represents relation of equality across contexts,symbolic equality,algebraic manipulation,equality relation,"equations unify constraints, curves, models, and systems",How does this idea move across fields without erasing contextual difference?
idea_function,Function,analysis,analytic geometry and calculus,represents dependence and mapping,"f(x), mapping, rule, graph","composition, differentiation, integration",input-output dependence,"functions connect formulas, curves, processes, algorithms, and random variables",How does this idea move across fields without erasing contextual difference?
idea_derivative,Derivative,calculus,calculus,"connects slope, velocity, sensitivity, and local change",rate of change,differentiation,local linear behavior,derivatives unify geometry and change,How does this idea move across fields without erasing contextual difference?
idea_integral,Integral,calculus,calculus,"connects area, accumulation, expectation, and measure",accumulation over domain,integration,total accumulated quantity,"integration links geometry, analysis, probability, and physics",How does this idea move across fields without erasing contextual difference?
idea_group,Group,algebra,structural mathematics,studies symmetry and operation structure,set with binary operation,homomorphism,operation law,"group theory unifies numbers, symmetries, permutations, and transformations",How does this idea move across fields without erasing contextual difference?
idea_graph,Graph,discrete mathematics,structural and computational mathematics,"represents relations, networks, dependencies, and paths",nodes and edges,graph morphism or algorithm,adjacency or connectivity pattern,"graphs unify discrete structure, computation, networks, and systems",How does this idea move across fields without erasing contextual difference?
idea_probability,Probability,probability and statistics,modern mathematics of uncertainty,"disciplines uncertainty, variation, evidence, and risk","probability space, distribution, conditional probability","conditioning, marginalization, expectation",measure of uncertainty under rules,"probability links counting, measure, inference, data, and decisions",How does this idea move across fields without erasing contextual difference?
idea_model,Model,applied mathematics,mathematical modeling,connects formal structure to target systems,formal structure plus interpretation,"calibration, simulation, validation",selected relation between formal system and target system,model unity requires explicit assumptions and validation,How does this idea move across fields without erasing contextual difference?
idea_category,Category,category theory,category-level abstraction,"studies objects, morphisms, composition, and preservation",objects and arrows,functor and natural transformation,compositional structure,category theory unifies by transformation rather than by reducing all objects to one type,How does this idea move across fields without erasing contextual difference?
idea_formal_verification,Formal verification,logic and computation,proof assistants and formal methods,"connects proof, logic, type theory, and computation",formal statement and proof script,machine-checked derivation,derivability under formal rules,formal verification checks derivations but does not replace human interpretation,How does this idea move across fields without erasing contextual difference?
