sequence,n,value,rule,interpretation
factorial,0,1,n! = n*(n-1)!,recursive product from base case
fibonacci_memo,0,0,F_n = F_(n-1)+F_(n-2),memoized two-branch recurrence
arithmetic,0,3,a_n=a_(n-1)+5,additive recurrence
geometric,0,2,a_n=3*a_(n-1),multiplicative recurrence
factorial,1,1,n! = n*(n-1)!,recursive product from base case
fibonacci_memo,1,1,F_n = F_(n-1)+F_(n-2),memoized two-branch recurrence
arithmetic,1,8,a_n=a_(n-1)+5,additive recurrence
geometric,1,6,a_n=3*a_(n-1),multiplicative recurrence
factorial,2,2,n! = n*(n-1)!,recursive product from base case
fibonacci_memo,2,1,F_n = F_(n-1)+F_(n-2),memoized two-branch recurrence
arithmetic,2,13,a_n=a_(n-1)+5,additive recurrence
geometric,2,18,a_n=3*a_(n-1),multiplicative recurrence
factorial,3,6,n! = n*(n-1)!,recursive product from base case
fibonacci_memo,3,2,F_n = F_(n-1)+F_(n-2),memoized two-branch recurrence
arithmetic,3,18,a_n=a_(n-1)+5,additive recurrence
geometric,3,54,a_n=3*a_(n-1),multiplicative recurrence
factorial,4,24,n! = n*(n-1)!,recursive product from base case
fibonacci_memo,4,3,F_n = F_(n-1)+F_(n-2),memoized two-branch recurrence
arithmetic,4,23,a_n=a_(n-1)+5,additive recurrence
geometric,4,162,a_n=3*a_(n-1),multiplicative recurrence
factorial,5,120,n! = n*(n-1)!,recursive product from base case
fibonacci_memo,5,5,F_n = F_(n-1)+F_(n-2),memoized two-branch recurrence
arithmetic,5,28,a_n=a_(n-1)+5,additive recurrence
geometric,5,486,a_n=3*a_(n-1),multiplicative recurrence
factorial,6,720,n! = n*(n-1)!,recursive product from base case
fibonacci_memo,6,8,F_n = F_(n-1)+F_(n-2),memoized two-branch recurrence
arithmetic,6,33,a_n=a_(n-1)+5,additive recurrence
geometric,6,1458,a_n=3*a_(n-1),multiplicative recurrence
factorial,7,5040,n! = n*(n-1)!,recursive product from base case
fibonacci_memo,7,13,F_n = F_(n-1)+F_(n-2),memoized two-branch recurrence
arithmetic,7,38,a_n=a_(n-1)+5,additive recurrence
geometric,7,4374,a_n=3*a_(n-1),multiplicative recurrence
factorial,8,40320,n! = n*(n-1)!,recursive product from base case
fibonacci_memo,8,21,F_n = F_(n-1)+F_(n-2),memoized two-branch recurrence
arithmetic,8,43,a_n=a_(n-1)+5,additive recurrence
geometric,8,13122,a_n=3*a_(n-1),multiplicative recurrence
factorial,9,362880,n! = n*(n-1)!,recursive product from base case
fibonacci_memo,9,34,F_n = F_(n-1)+F_(n-2),memoized two-branch recurrence
arithmetic,9,48,a_n=a_(n-1)+5,additive recurrence
geometric,9,39366,a_n=3*a_(n-1),multiplicative recurrence
factorial,10,3628800,n! = n*(n-1)!,recursive product from base case
fibonacci_memo,10,55,F_n = F_(n-1)+F_(n-2),memoized two-branch recurrence
arithmetic,10,53,a_n=a_(n-1)+5,additive recurrence
geometric,10,118098,a_n=3*a_(n-1),multiplicative recurrence
factorial,11,39916800,n! = n*(n-1)!,recursive product from base case
fibonacci_memo,11,89,F_n = F_(n-1)+F_(n-2),memoized two-branch recurrence
arithmetic,11,58,a_n=a_(n-1)+5,additive recurrence
geometric,11,354294,a_n=3*a_(n-1),multiplicative recurrence
factorial,12,479001600,n! = n*(n-1)!,recursive product from base case
fibonacci_memo,12,144,F_n = F_(n-1)+F_(n-2),memoized two-branch recurrence
arithmetic,12,63,a_n=a_(n-1)+5,additive recurrence
geometric,12,1062882,a_n=3*a_(n-1),multiplicative recurrence
factorial,13,6227020800,n! = n*(n-1)!,recursive product from base case
fibonacci_memo,13,233,F_n = F_(n-1)+F_(n-2),memoized two-branch recurrence
arithmetic,13,68,a_n=a_(n-1)+5,additive recurrence
geometric,13,3188646,a_n=3*a_(n-1),multiplicative recurrence
factorial,14,87178291200,n! = n*(n-1)!,recursive product from base case
fibonacci_memo,14,377,F_n = F_(n-1)+F_(n-2),memoized two-branch recurrence
arithmetic,14,73,a_n=a_(n-1)+5,additive recurrence
geometric,14,9565938,a_n=3*a_(n-1),multiplicative recurrence
factorial,15,1307674368000,n! = n*(n-1)!,recursive product from base case
fibonacci_memo,15,610,F_n = F_(n-1)+F_(n-2),memoized two-branch recurrence
arithmetic,15,78,a_n=a_(n-1)+5,additive recurrence
geometric,15,28697814,a_n=3*a_(n-1),multiplicative recurrence
merge_sort_cost,1,1,T(n)=2T(n/2)+n,divide-and-conquer cost recurrence
merge_sort_cost,2,4,T(n)=2T(n/2)+n,divide-and-conquer cost recurrence
merge_sort_cost,4,12,T(n)=2T(n/2)+n,divide-and-conquer cost recurrence
merge_sort_cost,8,32,T(n)=2T(n/2)+n,divide-and-conquer cost recurrence
merge_sort_cost,16,80,T(n)=2T(n/2)+n,divide-and-conquer cost recurrence
merge_sort_cost,32,192,T(n)=2T(n/2)+n,divide-and-conquer cost recurrence
merge_sort_cost,64,448,T(n)=2T(n/2)+n,divide-and-conquer cost recurrence
